Date,Open,High,Low,Close,Volume
2020-12-01,153.5,153.9999,145.67,147.5,4190708
2020-12-02,144.36,144.69,138.24,141.84,6531335
2020-12-03,159.52,165.75,155.54,161.19,14267475
2020-12-04,160.36,168.97,157.59,167.26,7645949
2020-12-07,168.0,172.69,166.1001,170.72,5149834
2020-12-08,171.29,178.88,170.8,177.48,4587629
2020-12-09,175.44,177.7,162.89,166.17,6354960
2020-12-10,165.35,181.8,164.15,179.99,9464366
2020-12-11,177.17,178.88,171.38,175.92,5328746
2020-12-14,176.8115,179.5131,172.88,173.8,3276771
2020-12-15,175.4034,176.5,172.4,174.93,2753722
2020-12-16,177.05,182.21,176.55,179.79,4415568
2020-12-17,182.14,186.9,180.79,185.25,3899642
2020-12-18,193.7,205.91,193.7,203.75,15264153
2020-12-21,202.24,211.6094,201.8,210.65,8917236
2020-12-22,213.015,225.75,211.55,224.9,8308401
2020-12-23,225.63,227.2624,216.21,223.5,5039762
2020-12-24,223.5,227.3599,219.2822,221.12,2407244
2020-12-28,225.0886,227.0934,212.0159,212.55,4614644
2020-12-29,210.6,213.5,202.78,205.93,8153413
2020-12-30,207.77,210.9893,205.24,210.29,2550811
2020-12-31,211.47,214.25,208.1,211.82,2597782
2021-01-04,209.96,211.44,195.985,200.49,6281340
2021-01-05,200.245,211.97,197.75,211.24,5072240
2021-01-06,204.0,214.695,203.0,208.85,4703889
2021-01-07,213.025,222.1,213.025,221.47,4194579
2021-01-08,225.83,228.82,220.11,223.73,3537355
2021-01-11,223.65,234.63,218.0,232.24,5128680
2021-01-12,233.405,238.54,233.0,233.59,3384442
2021-01-13,236.5,236.55,225.6,226.42,3553954
2021-01-14,228.65,231.9,222.76,225.62,3101836
2021-01-15,228.08,230.05,218.75,219.51,3654913
2021-01-19,224.0,224.66,217.51,221.92,3662919
2021-01-20,227.0,228.57,222.2,226.33,2128758
2021-01-21,228.0,228.5,219.81,221.0,3175741
2021-01-22,220.97,226.15,220.31,223.52,2042153
2021-01-25,227.72,230.63,208.69,217.49,5213234
2021-01-26,217.13,217.6312,206.01,206.8,5463870
2021-01-27,200.0,207.76,193.86,200.93,6109072
2021-01-28,202.0,216.8,201.72,212.49,3416345
2021-01-29,211.33,217.55,205.3601,215.8,4000451
2021-02-01,216.56,218.49,210.45,215.01,2932115
2021-02-02,218.53,221.47,212.53,219.64,3584306
2021-02-03,223.0,223.49,216.27,218.12,2903829
2021-02-04,219.74,224.29,216.81,224.01,3212615
2021-02-05,226.0,227.95,222.4,223.53,2134164
2021-02-08,225.5045,228.65,219.15,222.36,2210580
2021-02-09,221.2,225.39,220.4,223.72,1869484
2021-02-10,225.0,233.55,220.4,231.35,3381544
2021-02-11,233.49,239.89,229.13,234.8,3980911
2021-02-12,236.55,245.42,233.5,242.1,3891194
2021-02-16,248.54,251.28,237.61,242.42,3296598
2021-02-17,238.9,242.6,229.15,238.56,2983495
2021-02-18,236.7827,241.32,231.6,239.25,2640404
2021-02-19,241.83,246.21,236.61,239.2,2333434
2021-02-22,235.6517,237.8,222.42,225.83,3268466
2021-02-23,211.2,219.21,198.162,218.39,5899516
2021-02-24,219.78,219.88,207.5,216.6,3944337
2021-02-25,216.43,221.8063,204.9,208.66,3604361
2021-02-26,209.3,217.19,204.52,216.0,4903513
2021-03-01,220.8192,223.84,215.86,223.4,2355748
2021-03-02,226.5,231.16,221.52,222.1,2538463
2021-03-03,220.8571,223.47,206.61,210.62,4155221
2021-03-04,204.79,208.3773,187.1901,192.99,6635090
2021-03-05,194.64,195.41,168.67,183.12,9437981
2021-03-08,184.29,192.44,178.9,179.75,5302577
2021-03-09,192.65,201.14,189.5,199.1,3865483
2021-03-10,204.0,208.22,192.5,194.86,3506867
2021-03-11,203.99,206.67,198.42,205.8,3597827
2021-03-12,200.9,200.98,195.31,199.0,3033946
2021-03-15,199.5,201.47,195.0211,200.55,2528903
2021-03-16,203.81,209.1,193.5,196.31,6766359
2021-03-17,199.0,210.88,191.28,208.03,11955136
2021-03-18,203.59,203.75,189.61,190.21,8827098
2021-03-19,192.88,197.79,190.02,194.63,7375768
2021-03-22,191.91,198.0,190.23,195.73,5560978
2021-03-23,195.74,197.85,189.69,190.6,4210512
2021-03-24,191.0,193.5,180.11,181.6,3994319
2021-03-25,175.67,181.88,174.58,179.16,3755740
2021-03-26,179.03,181.5,170.1,177.685,3732751
2021-03-29,177.6898,182.73,171.2,173.85,3050521
2021-03-30,171.08,176.2399,168.76,175.28,4277951
2021-03-31,179.24,184.99,178.71,182.51,4268053
2021-04-01,188.7665,194.5,185.43,187.03,3344385
2021-04-05,191.43,191.67,184.72,186.62,3767691
2021-04-06,186.62,198.2711,185.86,194.38,3672348
2021-04-07,195.07,196.8899,190.64,193.93,2332473
2021-04-08,197.545,204.31,195.6735,203.45,4613302
2021-04-09,201.44,204.24,194.31,202.68,4503978
2021-04-12,201.53,206.15,197.51,203.99,3306838
2021-04-13,206.52,219.0,206.14,216.35,5361839
2021-04-14,216.39,217.4,207.5,208.2,3263769
2021-04-15,215.5,215.5,207.81,213.1,4337515
2021-04-16,213.5065,216.54,208.49,215.2,3579673
2021-04-19,211.05,223.23,210.29,213.37,3872852
2021-04-20,216.09,217.74,205.58,206.6,2743349
2021-04-21,205.48,212.2189,201.5308,210.37,1975392
2021-04-22,212.0,223.93,212.0,216.73,5216851
2021-04-23,219.51,224.99,217.73,219.3,2500362
2021-04-26,220.05,225.1,215.93,224.47,3614626
2021-04-27,225.48,227.2,219.8907,221.25,2326723
2021-04-28,217.87,223.26,215.0229,220.24,2486635
2021-04-29,221.0,221.0,208.42,211.53,3322318
2021-04-30,207.3335,214.35,207.0,208.51,2028927
2021-05-03,209.0,209.59,204.0204,205.12,2304113
2021-05-04,201.95,202.99,191.36,197.79,4274710
2021-05-05,202.26,202.74,192.0,193.24,2307485
2021-05-06,191.52,191.52,180.67,187.07,4903490
2021-05-07,194.28,197.79,187.9101,189.18,3182322
2021-05-10,189.18,190.7,183.8,187.58,4166120
2021-05-11,178.92,195.35,177.2874,195.1,4910455
2021-05-12,192.0,195.5,185.66,189.27,3769386
2021-05-13,190.965,192.85,179.41,183.76,3301530
2021-05-14,187.5124,191.35,183.76,190.64,2377390
2021-05-17,189.76,192.514,185.0,188.53,2023550
2021-05-18,191.33,199.31,187.51,196.78,4125258
2021-05-19,189.63,199.75,189.27,198.71,4273495
2021-05-20,201.55,205.38,199.01,204.03,2564334
2021-05-21,207.84,210.99,205.62,210.6,3554421
2021-05-24,212.44,215.32,209.36,214.35,2877928
2021-05-25,214.58,216.59,211.84,212.86,1827870
2021-05-26,217.96,225.3799,216.38,219.96,3702203
2021-05-27,218.0,222.98,211.345,222.81,4073508
2021-05-28,222.85,225.925,221.0,222.15,2580320
2021-06-01,223.23,226.95,218.85,222.07,2882966
2021-06-02,221.35,223.25,218.5723,220.58,2193340
2021-06-03,220.05,220.54,213.93,216.0,4565772
2021-06-04,216.99,217.41,205.33,206.94,7318288
2021-06-07,206.44,217.81,204.5301,215.41,5854901
2021-06-08,217.735,221.6,212.63,215.14,2891916
2021-06-09,215.69,216.69,211.225,213.95,3353014
2021-06-10,214.89,229.41,214.76,228.6,7787236
2021-06-11,226.61,232.0,224.61,231.27,4010214
2021-06-14,231.5,234.7382,228.6,233.53,2725469
2021-06-15,233.75,234.0,227.29,228.34,2319285
2021-06-16,229.0,235.8,227.65,234.17,5452575
